ID,Year,Month,30-60,<30,>60,Not defined,Total
200401,2004,1,378,209,56,0,643
200402,2004,2,635,716,50,0,1401
200403,2004,3,1654,1264,187,0,3105
200404,2004,4,8025,6545,984,0,15554
200405,2004,5,11374,2656,2830,0,16860
200406,2004,6,12502,3975,2818,0,19295
200407,2004,7,14843,15289,1759,0,31891
200408,2004,8,21715,22588,1298,0,45601
200409,2004,9,12852,7565,2335,0,22752
200410,2004,10,8975,3933,1648,0,14556
200411,2004,11,3056,984,370,0,4410
200412,2004,12,2543,1037,222,0,3802
200501,2005,1,174,86,9,0,269
201101,2011,1,428,191,25,0,644
201709,2017,9,23461,9227,9501,0,42189
201801,2018,1,0,0,0,1627,1627
201802,2018,2,0,0,0,2181,2181
201803,2018,3,0,0,0,11056,11056
201804,2018,4,0,0,0,22068,22068
201805,2018,5,23010,5974,11681,0,40665
201806,2018,6,0,0,0,45685,45685
201807,2018,7,0,0,0,50867,50867
201808,2018,8,0,0,0,60415,60415
201809,2018,9,0,0,0,47006,47006
201810,2018,10,0,0,0,35602,35602
201811,2018,11,0,0,0,7651,7651
201812,2018,12,0,0,0,2553,2553
201901,2019,1,1042,478,131,0,1651
201902,2019,2,1128,761,230,0,2119
201903,2019,3,3883,2651,940,0,7474
201904,2019,4,17354,9665,4703,0,31722
201905,2019,5,25733,7209,13731,0,46673
201906,2019,6,26224,11021,11813,0,49058
201907,2019,7,26051,21296,5972,0,53319
201908,2019,8,36205,21613,4996,0,62814
201909,2019,9,25206,9667,10780,0,45653
201910,2019,10,19833,6150,10135,0,36118
201911,2019,11,5124,1764,1386,0,8274
201912,2019,12,1725,699,286,0,2710
202001,2020,1,1276,553,172,0,2001
202002,2020,2,1605,1224,247,0,3076
202003,2020,3,1090,659,199,0,1948
202006,2020,6,9,1,2,0,12
202007,2020,7,5580,3536,636,0,9752
202008,2020,8,12035,6659,1118,0,19812
202009,2020,9,6541,2609,1291,0,10441
202010,2020,10,4273,1306,839,0,6418
202011,2020,11,370,159,56,0,585
202012,2020,12,66,30,3,0,99
202101,2021,1,41,15,4,0,60
202102,2021,2,12,2,0,0,14
202103,2021,3,128,47,19,0,194
202104,2021,4,672,270,82,0,1024
202105,2021,5,2949,718,628,0,4295
202106,2021,6,8792,3664,2368,0,14824
202107,2021,7,18153,12281,3529,0,33963
202108,2021,8,25310,14774,3491,0,43575
202109,2021,9,21583,7822,8058,0,37463
202110,2021,10,18661,4647,7862,0,31170
202111,2021,11,5811,1510,1773,0,9094
202112,2021,12,748,311,134,0,1193
202201,2022,1,1044,440,133,0,1617
202202,2022,2,1289,508,237,0,2034
202203,2022,3,4067,2218,1104,0,7389
202204,2022,4,18238,10558,5487,0,34283
202205,2022,5,25654,7221,15379,0,48254
202206,2022,6,29391,13701,14920,0,58012
202207,2022,7,33556,25505,8313,0,67374
202208,2022,8,45289,33417,7136,0,85842
202209,2022,9,35281,14243,16672,0,66196
202210,2022,10,28786,8466,14104,0,51356
202211,2022,11,6754,2269,2260,0,11283
202212,2022,12,3042,910,731,0,4683
202301,2023,1,1295,535,198,0,2028
202302,2023,2,1592,1010,254,0,2856
202304,2023,4,13591,7348,3237,0,24176
