ID,Year,Month,Non-religious,Religious,Religious and others,Sin establecer,Total
200401,2004,1,31,488,124,0,643
200402,2004,2,61,1090,250,0,1401
200403,2004,3,197,2219,689,0,3105
200404,2004,4,1242,11200,3112,0,15554
200405,2004,5,1077,12405,3378,0,16860
200406,2004,6,964,14379,3952,0,19295
200407,2004,7,1729,23760,6402,0,31891
200408,2004,8,2190,35918,7493,0,45601
200409,2004,9,1366,15958,5428,0,22752
200410,2004,10,840,10784,2932,0,14556
200411,2004,11,214,3239,957,0,4410
200412,2004,12,175,2819,808,0,3802
200501,2005,1,27,188,54,0,269
201101,2011,1,47,290,307,0,644
201709,2017,9,3896,18243,20050,0,42189
201801,2018,1,178,554,895,0,1627
201802,2018,2,161,1016,1004,0,2181
201803,2018,3,1037,4511,5508,0,11056
201804,2018,4,1913,8589,11566,0,22068
201805,2018,5,3178,16701,20786,0,40665
201806,2018,6,4333,20070,21282,0,45685
201807,2018,7,4826,25001,21040,0,50867
201808,2018,8,6434,26976,27005,0,60415
201809,2018,9,4562,19388,23056,0,47006
201810,2018,10,3131,14079,18392,0,35602
201811,2018,11,646,2510,4495,0,7651
201812,2018,12,221,642,1690,0,2553
201901,2019,1,149,478,1024,0,1651
201902,2019,2,271,885,963,0,2119
201903,2019,3,724,2864,3886,0,7474
201904,2019,4,3639,12258,15825,0,31722
201905,2019,5,5026,18583,23064,0,46673
201906,2019,6,5562,18465,25031,0,49058
201907,2019,7,5801,24793,22725,0,53319
201908,2019,8,7678,26665,28471,0,62814
201909,2019,9,4201,18055,23397,0,45653
201910,2019,10,3868,13443,18807,0,36118
201911,2019,11,944,2778,4552,0,8274
201912,2019,12,291,849,1570,0,2710
202001,2020,1,217,532,1252,0,2001
202002,2020,2,378,1095,1603,0,3076
202003,2020,3,223,706,1019,0,1948
202006,2020,6,0,6,6,0,12
202007,2020,7,2092,3407,4253,0,9752
202008,2020,8,5086,6120,8606,0,19812
202009,2020,9,3027,2758,4656,0,10441
202010,2020,10,1891,1476,3051,0,6418
202011,2020,11,163,130,292,0,585
202012,2020,12,19,29,51,0,99
202101,2021,1,10,17,33,0,60
202102,2021,2,2,2,10,0,14
202103,2021,3,51,64,79,0,194
202104,2021,4,267,305,452,0,1024
202105,2021,5,1069,1238,1988,0,4295
202106,2021,6,3333,5132,6359,0,14824
202107,2021,7,6554,13701,13708,0,33963
202108,2021,8,8315,16521,18739,0,43575
202109,2021,9,7901,13200,16362,0,37463
202110,2021,10,6421,11014,13735,0,31170
202111,2021,11,1955,2879,4260,0,9094
202112,2021,12,287,385,521,0,1193
202201,2022,1,357,506,754,0,1617
202202,2022,2,460,680,894,0,2034
202203,2022,3,1725,2495,3169,0,7389
202204,2022,4,8152,13059,13072,0,34283
202205,2022,5,10700,19420,18134,0,48254
202206,2022,6,13060,21664,23288,0,58012
202207,2022,7,14523,26393,26458,0,67374
202208,2022,8,18992,35673,31177,0,85842
202209,2022,9,16261,21929,28006,0,66196
202210,2022,10,12495,17480,21381,0,51356
202211,2022,11,3076,3265,4942,0,11283
202212,2022,12,895,1340,2447,1,4683
202301,2023,1,414,356,1258,0,2028
202302,2023,2,635,714,1507,0,2856
202304,2023,4,7354,7227,9595,0,24176
