ID,Year,Month,A Coruña,A Guarda,Alemania,Astorga,Avilés,Baiona,Barcelona,Burgos,Bélgica,Cebreiro,Com. Valenciana - C.F.,Com. Valenciana - O.C.,Corrubedo,Ferrol,Finisterra,Fonsagrada - C.P.,Francia - C.F.,Gijón,Gudiña,Irún,Laza,Le Puy,León,Lisboa,Logroño,Lourdes,Lugo - C.P.,Madrid - C.F.,Madrid - V.P.,Mondoñedo,Monforte de Lemos,Montserrat,Muxia,Mérida,O Barco de Valdeorras,Oporto,Oporto Costa,Ourense,Oviedo - C.P.,Pamplona,Ponferrada,Ponferrada. C.Inv.,Ponte de Lima,Ponte de sa,Porriño,Porto (por Tui),Republica Checa,Resto,Resto Asturias - C.N,Resto Galicia,Resto Portugal,Resto de Galicia,Resto de Portugal,Ribadeo,Roncesvalles,S. Jean P. Port,Sahagún,Samos,San Sebastián,Santander,Sarria,Sevilla,Triacastela,Tui,Valença do Minho,Vega de Valcarce,Verín,Vezelay,Viana do Castelo,Vigo,Vilafranca,Vilalba,Villafranca del Bierzo,Total
200401,2004,1,0,0,0,29,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,15,49,0,0,0,0,0,0,124,0,0,0,0,0,0,31,30,0,0,0,0,152,0,0,0,0,0,0,0,0,0,53,0,0,643
200402,2004,2,0,0,0,34,0,0,0,0,0,167,0,0,0,34,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,276,0,0,0,0,0,0,83,40,0,0,0,0,513,0,0,117,0,0,0,0,0,0,29,0,0,1401
200403,2004,3,0,0,0,127,0,0,0,0,0,576,0,0,0,92,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,602,0,0,0,0,0,0,218,60,0,0,0,0,742,0,0,325,0,0,0,0,0,0,64,0,0,3105
200404,2004,4,0,0,0,509,0,0,0,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,757,0,0,0,0,0,0,2833,0,0,0,0,0,0,783,392,0,0,0,0,4851,0,0,1462,0,0,0,0,0,0,536,0,0,15554
200405,2004,5,0,0,0,573,0,0,0,415,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,809,0,0,0,0,0,0,4727,0,0,0,0,0,0,1548,1361,0,0,0,0,2829,0,0,1078,0,0,0,0,0,0,0,0,0,16860
200406,2004,6,0,0,0,731,0,0,0,0,0,2466,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,902,0,0,0,0,0,0,5758,0,0,0,0,0,0,1948,1689,0,0,0,0,3314,0,0,669,0,0,0,0,0,0,424,0,0,19295
200407,2004,7,0,0,0,1738,0,0,0,0,0,3685,0,0,0,0,0,0,0,0,0,0,0,0,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668,0,0,0,0,0,0,8672,0,0,0,0,0,0,2027,1265,0,0,0,0,6271,0,534,2090,0,0,0,0,0,0,1124,0,0,31891
200408,2004,8,0,0,0,1560,0,0,0,0,0,4014,0,0,0,0,0,0,0,0,0,0,0,0,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3179,2645,0,2845,0,0,0,0,0,0,12401,0,0,0,0,0,0,2980,1643,0,0,0,0,9470,0,0,2515,0,0,0,0,0,0,0,0,0,45601
200409,2004,9,0,0,0,977,0,0,0,0,0,2315,0,0,0,0,0,0,0,0,0,0,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,1462,0,0,0,0,0,0,5645,0,0,0,0,0,0,1786,1288,0,0,0,0,5788,0,0,1031,0,0,0,0,0,0,548,0,0,22752
200410,2004,10,0,0,0,475,0,0,0,0,0,1447,0,0,0,0,0,0,0,0,0,0,0,336,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,685,0,0,0,0,0,0,3576,0,0,0,0,0,0,1199,1197,0,0,0,0,3846,0,0,685,0,0,0,0,0,0,0,0,0,14556
