ID,Year,Month,Barbanza Way (Camino del Barbanza),Way of the Sea (Camino del Mar),Forgotten Way (Camino Olvidado),Costa Camino Portugues  ,Camino Francés,Geira and Arrieiros Way (Camino de Geira e Arrieiros),Camino Inglés,Winter Way (Camino de Invierno),Miñoto Ribeiro Way (Camino de Miñoto Ribeiro),Muros-Noia Way (Camino de Muros - Noia),Camino de Finisterre y Muxía,Camino del Norte,Other Ways,Camino Portugués,Camino Primitivo,Others,San Rosendo Way (Camino de San Rosendo),San Salvador Way (Camino de San Salvador),Not Established,Vía de la Plata,Celtic Way (Vía Céltica),Total
200401,2004,1,0,0,0,0,566,0,5,0,0,0,0,14,0,16,17,0,0,0,0,25,0,643
200402,2004,2,0,0,0,21,1124,0,34,0,0,0,0,41,4,157,0,0,0,0,0,20,0,1401
200403,2004,3,0,0,0,43,2349,0,141,0,0,0,0,103,0,368,9,0,0,0,0,92,0,3105
200404,2004,4,0,0,0,142,12024,0,290,0,0,0,0,256,17,1990,100,0,0,0,0,735,0,15554
200405,2004,5,0,0,0,162,13485,0,326,0,0,0,1,545,18,1499,120,0,0,0,0,704,0,16860
200406,2004,6,0,0,0,87,15983,0,258,0,0,0,0,740,15,1094,315,0,0,0,0,803,0,19295
200407,2004,7,0,0,0,110,24798,0,364,0,0,0,0,1891,29,2837,478,0,0,0,0,1384,0,31891
200408,2004,8,0,0,0,123,31264,0,1045,0,0,0,247,1962,27,3303,3800,0,0,0,0,3830,0,45601
200409,2004,9,0,0,0,50,18919,0,324,0,0,0,10,630,22,1717,303,0,0,0,0,777,0,22752
200410,2004,10,0,0,0,25,11964,0,107,0,0,0,2,436,12,1123,203,0,0,0,0,684,0,14556
200411,2004,11,0,0,0,27,3512,0,98,0,0,0,8,146,0,352,87,0,0,0,0,180,0,4410
200412,2004,12,0,0,0,20,2649,0,100,0,0,0,12,206,0,568,149,0,0,0,0,98,0,3802
200501,2005,1,0,0,0,0,226,0,3,0,0,0,1,8,0,21,1,0,0,0,0,9,0,269
201101,2011,1,0,0,0,0,486,0,7,0,0,0,3,53,0,60,18,0,0,0,0,17,0,644
201709,2017,9,0,0,0,1286,25677,0,1428,60,0,0,89,2378,45,8247,2022,0,0,0,0,957,0,42189
201801,2018,1,0,0,0,36,995,0,76,13,0,0,4,58,2,275,108,0,0,0,0,60,0,1627
201802,2018,2,0,0,0,58,1110,0,74,10,0,0,16,66,0,688,70,0,0,0,0,89,0,2181
201803,2018,3,0,0,0,421,6417,0,442,41,0,0,70,350,6,2649,322,0,0,0,0,338,0,11056
201804,2018,4,0,0,0,816,11944,0,925,44,0,0,127,736,22,5891,801,0,0,0,0,762,0,22068
201805,2018,5,0,0,0,1580,23848,0,0,0,0,0,0,1728,0,8916,1715,2878,0,0,0,0,0,40665
201806,2018,6,0,0,0,1789,27346,0,1737,104,0,0,175,2631,59,8523,1958,0,0,0,0,1363,0,45685
201807,2018,7,0,0,0,1780,27416,0,2958,177,0,0,172,3963,56,10219,2555,0,0,0,0,1571,0,50867
201808,2018,8,0,0,0,2290,33381,0,2998,61,0,0,132,4762,58,11658,3507,0,0,0,0,1568,0,60415
201809,2018,9,0,0,0,2852,26197,0,1783,68,0,0,144,2548,26,10196,2211,0,0,0,0,981,0,47006
