ID,Year,Month,Farmers,Housewives,Artists,Athletes,Executives,Employees,Students,Civil Servants,Retirees,Freelancers,Sailors,Workers,Unemployed,Teachers,Religious,Others,Priests,Sin establecer,Technicians,Total
200401,2004,1,0,22,0,0,0,64,144,34,50,87,0,94,23,54,0,24,0,0,47,643
200402,2004,2,0,45,0,0,0,113,486,91,45,185,0,143,29,82,0,49,0,0,133,1401
200403,2004,3,0,210,0,0,0,358,822,251,157,349,0,376,81,132,0,86,0,0,283,3105
200404,2004,4,0,833,0,0,0,2097,4552,813,829,1968,0,1442,240,1050,0,344,0,0,1386,15554
200405,2004,5,0,1334,0,0,0,3626,1196,1220,2640,2512,0,1047,255,598,0,492,0,0,1940,16860
200406,2004,6,0,1276,0,0,0,3738,2163,1467,2486,2700,0,1371,329,857,0,588,0,0,2320,19295
200407,2004,7,0,1443,0,0,0,3855,12030,1729,1546,2985,0,1391,274,3119,0,851,0,0,2668,31891
200408,2004,8,0,1754,0,0,0,7109,15568,1581,963,5320,0,3219,0,3909,0,1451,573,0,4154,45601
200409,2004,9,0,1241,0,0,0,4270,4841,1410,2053,2965,0,1289,270,934,0,765,0,0,2714,22752
200410,2004,10,0,922,0,0,0,2491,2372,957,1530,2325,0,782,242,615,0,463,0,0,1857,14556
200411,2004,11,0,374,0,0,0,916,386,271,322,724,0,410,108,222,0,186,0,0,491,4410
200412,2004,12,0,306,0,0,0,655,557,221,179,532,0,457,69,227,0,122,0,0,477,3802
200501,2005,1,0,0,10,0,0,38,49,13,14,43,0,28,11,17,0,16,0,0,30,269
201101,2011,1,0,0,20,0,0,137,125,41,15,77,0,43,21,57,0,36,0,0,72,644
201709,2017,9,0,905,0,0,703,11984,5529,2773,6740,5296,0,0,513,1619,0,1465,0,0,4662,42189
201801,2018,1,18,20,36,5,43,336,366,84,75,160,8,33,59,161,11,0,8,0,204,1627
201802,2018,2,13,50,20,4,27,485,599,90,146,232,6,70,51,116,39,0,11,0,222,2181
201803,2018,3,25,128,56,8,111,1847,3940,586,583,1421,13,163,136,927,28,0,24,0,1060,11056
201804,2018,4,67,429,179,20,459,5183,3714,1526,2882,2733,21,152,287,1483,77,0,59,0,2797,22068
201805,2018,5,0,0,0,0,0,11571,3015,0,8860,4815,0,0,0,0,0,8167,0,0,4237,40665
201806,2018,6,100,1139,369,56,749,12467,6858,2969,8567,4981,47,490,623,2087,196,0,155,0,3832,45685
201807,2018,7,163,901,376,59,562,10153,16232,2775,3603,5038,44,363,531,5936,285,0,327,0,3519,50867
201808,2018,8,183,1124,493,69,615,15595,13625,2935,2774,8407,81,1095,613,6523,237,0,317,0,5729,60415
201809,2018,9,175,976,434,53,880,13841,6141,2945,7422,6184,58,570,555,1827,167,0,156,0,4622,47006
201810,2018,10,149,848,472,49,669,10231,3110,1806,6850,5058,65,306,639,1636,124,0,108,0,3482,35602
201811,2018,11,42,136,106,11,191,2178,746,473,799,1330,27,102,241,321,22,0,28,0,898,7651
201812,2018,12,13,38,43,4,48,723,327,137,191,426,15,39,118,132,8,0,8,0,283,2553
201901,2019,1,12,12,21,4,22,446,270,110,78,273,5,32,33,144,5,0,5,0,179,1651
201902,2019,2,11,28,25,4,22,513,537,92,168,300,4,26,71,137,2,0,9,0,170,2119
201903,2019,3,38,145,74,12,113,1598,1897,356,654,1218,27,87,135,364,21,0,32,0,703,7474
201904,2019,4,110,541,241,58,650,7243,6709,1599,3218,4489,55,391,360,2582,107,0,76,0,3293,31722
201905,2019,5,161,1002,399,52,919,12594,4093,2424,10311,6632,71,555,628,1861,139,0,156,0,4676,46673
201906,2019,6,169,1051,443,104,1031,10998,7757,3044,8782,5688,63,620,623,2615,168,0,191,0,5711,49058
