ID,Year,Month,30-60,<30,>60,Not defined,Total
200401,2004,1,378,209,56,0,643
200402,2004,2,635,716,50,0,1401
200403,2004,3,1654,1264,187,0,3105
200404,2004,4,8025,6545,984,0,15554
200405,2004,5,11374,2656,2830,0,16860
200406,2004,6,12502,3975,2818,0,19295
200407,2004,7,14843,15289,1759,0,31891
200408,2004,8,21715,22588,1298,0,45601
200409,2004,9,12852,7565,2335,0,22752
200410,2004,10,8975,3933,1648,0,14556
200411,2004,11,3056,984,370,0,4410
200412,2004,12,2543,1037,222,0,3802
200501,2005,1,174,86,9,0,269
200502,2005,2,318,224,23,0,565
200503,2005,3,1352,1677,92,0,3121
200504,2005,4,1793,1042,472,0,3307
200505,2005,5,5954,1307,2049,0,9310
200506,2005,6,7813,2090,2716,0,12619
200507,2005,7,9232,8368,1204,0,18804
200508,2005,8,14345,9681,805,0,24831
200509,2005,9,6905,3650,1613,0,12168
200510,2005,10,4064,1548,1261,0,6873
200511,2005,11,907,341,140,0,1388
200512,2005,12,437,202,29,0,668
200601,2006,1,218,87,19,0,324
200602,2006,2,166,167,18,0,351
200603,2006,3,535,493,68,0,1096
200604,2006,4,3635,3257,559,0,7451
200605,2006,5,6209,1418,2520,0,10147
200606,2006,6,8068,2069,2874,0,13011
200607,2006,7,8970,8606,1144,0,18720
200608,2006,8,14502,10793,888,0,26183
200609,2006,9,7561,3742,2167,0,13470
200610,2006,10,4670,1583,1447,0,7700
200611,2006,11,1090,452,213,0,1755
200612,2006,12,573,223,52,0,848
200701,2007,1,231,99,20,0,350
200702,2007,2,320,321,24,0,665
200703,2007,3,735,812,133,0,1680
200704,2007,4,4484,2658,973,0,8115
200705,2007,5,8011,1693,3220,0,12924
200706,2007,6,9395,2488,3299,0,15182
200707,2007,7,9631,9067,1458,0,20156
200708,2007,8,15499,10679,1111,0,27289
200709,2007,9,8829,3928,2525,0,15282
200710,2007,10,5593,1987,1863,0,9443
200711,2007,11,1514,712,270,0,2496
200712,2007,12,522,242,31,0,795
200801,2008,1,188,99,19,0,306
200802,2008,2,331,350,22,0,703
200803,2008,3,2732,2312,283,0,5327
200804,2008,4,3095,1460,1093,0,5648
200805,2008,5,10096,2080,3825,0,16001
200806,2008,6,9695,2476,3733,0,15904
200807,2008,7,10586,8950,1530,0,21066
200808,2008,8,17044,11755,1197,0,29996
200809,2008,9,10068,4341,2969,0,17378
200810,2008,10,5875,1932,2071,0,9878
200811,2008,11,1386,638,285,0,2309
200812,2008,12,640,366,79,0,1085
200901,2009,1,328,171,24,0,523
200902,2009,2,345,318,35,0,698
200903,2009,3,1008,670,172,0,1850
200904,2009,4,5370,3934,1012,0,10316
200905,2009,5,10139,2399,3960,0,16498
200906,2009,6,11593,3669,4092,0,19354
200907,2009,7,13257,11637,1858,0,26752
200908,2009,8,20457,13688,1401,0,35546
200909,2009,9,11882,5407,3334,0,20623
200910,2009,10,7111,2201,2419,0,11731
200911,2009,11,1480,582,291,0,2353
200912,2009,12,699,233,78,0,1010
201001,2010,1,670,427,91,0,1188
201002,2010,2,898,659,83,0,1640
201003,2010,3,3109,2289,485,0,5883
201004,2010,4,11690,5648,2249,0,19587
201005,2010,5,18475,4081,6290,0,28846
201006,2010,6,20994,6334,6428,0,33756
201007,2010,7,21714,17087,3665,0,42466
201008,2010,8,32851,25885,2798,0,61534
201009,2010,9,21826,9217,5805,0,36848
201010,2010,10,16867,5206,4525,0,26598
201011,2010,11,5359,1645,1071,0,8075
201012,2010,12,3997,1439,531,0,5967
201101,2011,1,428,191,25,0,644
201102,2011,2,438,343,39,0,820
201103,2011,3,1575,1272,176,0,3023
201104,2011,4,7824,4871,1459,0,14154
201105,2011,5,11664,3016,5125,0,19805
201106,2011,6,15129,4596,5514,0,25239
201107,2011,7,16096,12140,2606,0,30842
201108,2011,8,24702,14768,2019,0,41489
201109,2011,9,15090,6253,4680,0,26023
201110,2011,10,9602,3324,3317,0,16243
201111,2011,11,2149,990,452,0,3591
201112,2011,12,1040,380,78,0,1498
201201,2012,1,526,289,57,0,872
201202,2012,2,653,584,68,0,1305
201203,2012,3,1614,1336,310,0,3260
201204,2012,4,8199,4738,1812,0,14749
201205,2012,5,13015,2948,5813,0,21776
201206,2012,6,15006,4641,5870,0,25517
201207,2012,7,16304,13950,2564,0,32818
201208,2012,8,24065,14973,2058,0,41096
201209,2012,9,15729,6327,5265,0,27321
201210,2012,10,10597,3493,4001,0,18091
201211,2012,11,2636,1050,484,0,4170
201212,2012,12,947,395,141,0,1483
201301,2013,1,512,248,46,0,806
201302,2013,2,613,716,53,0,1382
201303,2013,3,3569,3209,450,0,7228
201304,2013,4,6646,2988,1898,0,11532
201305,2013,5,15006,3324,6875,0,25205
201306,2013,6,16738,5936,6700,0,29374
201307,2013,7,17865,15430,3264,0,36559
201308,2013,8,27287,16899,2540,0,46726
201309,2013,9,17792,7009,6093,0,30894
201310,2013,10,11352,3574,4681,0,19607
201311,2013,11,2856,1380,671,0,4907
201312,2013,12,1069,403,187,0,1659
201401,2014,1,511,333,62,0,906
201402,2014,2,452,431,87,0,970
201403,2014,3,1713,1136,301,0,3150
201404,2014,4,9534,5700,2113,0,17347
201405,2014,5,15739,3914,7701,0,27354
201406,2014,6,18582,6529,7910,0,33021
201407,2014,7,19694,16144,3743,0,39581
201408,2014,8,29307,18938,2973,0,51218
201409,2014,9,19420,7608,7429,0,34457
201410,2014,10,12656,4951,5598,0,23205
201411,2014,11,2979,1126,698,0,4803
201412,2014,12,1176,536,158,0,1870
201501,2015,1,743,421,53,0,1217
201502,2015,2,672,799,73,0,1544
201503,2015,3,2229,2436,415,0,5080
201504,2015,4,9965,5090,2666,0,17721
201505,2015,5,18000,4553,8523,0,31076
201506,2015,6,20059,6997,8867,0,35923
201507,2015,7,21615,18721,4458,0,44794
201508,2015,8,30778,20809,3207,0,54794
201509,2015,9,20947,8205,8277,0,37429
201510,2015,10,14519,4745,6312,0,25576
201511,2015,11,3178,1329,721,0,5228
201512,2015,12,1318,581,163,0,2062
201601,2016,1,802,419,83,0,1304
201602,2016,2,891,709,133,0,1733
201603,2016,3,5427,4858,782,0,11067
201604,2016,4,8429,3562,3109,0,15100
201605,2016,5,18743,4557,9476,0,32776
201606,2016,6,20887,8121,10062,0,39070
201607,2016,7,22962,17729,4780,0,45471
201608,2016,8,31161,18849,3694,0,53704
201609,2016,9,22173,8939,9037,0,40149
201610,2016,10,16229,5196,6797,0,28222
201611,2016,11,3841,1582,971,0,6394
201612,2016,12,1608,939,317,0,2864
201701,2017,1,824,457,73,0,1354
201702,2017,2,880,685,131,0,1696
201703,2017,3,2608,2031,537,0,5176
201704,2017,4,14462,9044,3419,0,26925
201705,2017,5,20093,4801,10453,0,35347
201706,2017,6,22424,9230,9965,0,41619
201707,2017,7,23361,19190,4919,0,47470
201708,2017,8,32328,21494,3858,0,57680
201709,2017,9,23461,9227,9501,0,42189
201710,2017,10,17884,5361,8096,0,31341
201711,2017,11,4519,1679,1148,0,7346
201712,2017,12,1782,864,247,0,2893
201801,2018,1,0,0,0,1627,1627
201802,2018,2,0,0,0,2181,2181
201803,2018,3,0,0,0,11056,11056
201804,2018,4,0,0,0,22068,22068
201805,2018,5,23010,5974,11681,0,40665
201806,2018,6,0,0,0,45685,45685
201807,2018,7,0,0,0,50867,50867
201808,2018,8,0,0,0,60415,60415
201809,2018,9,0,0,0,47006,47006
201810,2018,10,0,0,0,35602,35602
201811,2018,11,0,0,0,7651,7651
201812,2018,12,0,0,0,2553,2553
201901,2019,1,1042,478,131,0,1651
201902,2019,2,1128,761,230,0,2119
201903,2019,3,3883,2651,940,0,7474
201904,2019,4,17354,9665,4703,0,31722
201905,2019,5,25733,7209,13731,0,46673
201906,2019,6,26224,11021,11813,0,49058
201907,2019,7,26051,21296,5972,0,53319
201908,2019,8,36205,21613,4996,0,62814
201909,2019,9,25206,9667,10780,0,45653
201910,2019,10,19833,6150,10135,0,36118
201911,2019,11,5124,1764,1386,0,8274
201912,2019,12,1725,699,286,0,2710
202001,2020,1,1276,553,172,0,2001
202002,2020,2,1605,1224,247,0,3076
202003,2020,3,1090,659,199,0,1948
202006,2020,6,9,1,2,0,12
202007,2020,7,5580,3536,636,0,9752
202008,2020,8,12035,6659,1118,0,19812
202009,2020,9,6541,2609,1291,0,10441
202010,2020,10,4273,1306,839,0,6418
202011,2020,11,370,159,56,0,585
202012,2020,12,66,30,3,0,99
202101,2021,1,41,15,4,0,60
202102,2021,2,12,2,0,0,14
202103,2021,3,128,47,19,0,194
202104,2021,4,672,270,82,0,1024
202105,2021,5,2949,718,628,0,4295
202106,2021,6,8792,3664,2368,0,14824
202107,2021,7,18153,12281,3529,0,33963
202108,2021,8,25310,14774,3491,0,43575
202109,2021,9,21583,7822,8058,0,37463
202110,2021,10,18661,4647,7862,0,31170
202111,2021,11,5811,1510,1773,0,9094
202112,2021,12,748,311,134,0,1193
202201,2022,1,1044,440,133,0,1617
202202,2022,2,1289,508,237,0,2034
202203,2022,3,4067,2218,1104,0,7389
202204,2022,4,18238,10558,5487,0,34283
202205,2022,5,25654,7221,15379,0,48254
202206,2022,6,29391,13701,14920,0,58012
202207,2022,7,33556,25505,8313,0,67374
202208,2022,8,45289,33417,7136,0,85842
202209,2022,9,35281,14243,16672,0,66196
202210,2022,10,28786,8466,14104,0,51356
202211,2022,11,6754,2269,2260,0,11283
202212,2022,12,3042,910,731,0,4683
202301,2023,1,1295,535,198,0,2028
202302,2023,2,1592,1010,254,0,2856
202304,2023,4,13591,7348,3237,0,24176
