ID,Year,Month,Europe,North America,South America,Asia,Africa,Oceania,Other,Not specified,Total
200401,2004,1,608,13,7,5,0,10,0,0,643
200402,2004,2,1332,30,31,3,3,2,0,0,1401
200403,2004,3,2986,66,34,15,0,4,0,0,3105
200404,2004,4,14934,320,223,27,12,38,0,0,15554
200405,2004,5,15629,593,487,24,19,108,0,0,16860
200406,2004,6,17831,763,527,53,26,95,0,0,19295
200407,2004,7,30615,679,444,67,31,55,0,0,31891
200408,2004,8,44785,282,429,59,21,25,0,0,45601
200409,2004,9,21544,574,472,52,17,93,0,0,22752
200410,2004,10,13169,689,526,44,24,104,0,0,14556
200411,2004,11,3914,129,322,17,1,27,0,0,4410
200412,2004,12,3658,46,73,12,0,13,0,0,3802
200501,2005,1,229,21,13,2,0,4,0,0,269
200502,2005,2,536,5,9,14,0,1,0,0,565
200503,2005,3,2898,111,71,26,2,13,0,0,3121
200504,2005,4,3009,177,65,13,3,40,0,0,3307
200505,2005,5,8244,534,322,43,26,141,0,0,9310
200506,2005,6,11233,785,355,55,62,129,0,0,12619
200507,2005,7,17662,718,283,38,38,65,0,0,18804
200508,2005,8,24079,328,282,69,22,51,0,0,24831
200509,2005,9,11149,513,267,54,22,163,0,0,12168
200510,2005,10,5688,663,318,45,22,137,0,0,6873
200511,2005,11,1149,108,70,16,3,42,0,0,1388
200512,2005,12,592,28,28,13,1,6,0,0,668
200601,2006,1,287,8,20,7,1,1,0,0,324
200602,2006,2,326,13,11,1,0,0,0,0,351
200603,2006,3,983,66,27,10,0,10,0,0,1096
200604,2006,4,7020,204,183,11,5,28,0,0,7451
200605,2006,5,8973,589,343,59,29,154,0,0,10147
200606,2006,6,11550,758,352,72,71,208,0,0,13011
200607,2006,7,17582,666,261,77,47,87,0,0,18720
200608,2006,8,25452,319,282,68,21,41,0,0,26183
200609,2006,9,12398,522,334,67,43,106,0,0,13470
200610,2006,10,6405,692,310,81,43,169,0,0,7700
200611,2006,11,1445,125,91,23,9,62,0,0,1755
200612,2006,12,749,38,38,15,0,8,0,0,848
200701,2007,1,284,31,20,12,0,3,0,0,350
200702,2007,2,597,33,21,10,0,4,0,0,665
200703,2007,3,1533,69,58,14,1,5,0,0,1680
200704,2007,4,7495,326,173,41,29,51,0,0,8115
200705,2007,5,11580,675,359,91,29,190,0,0,12924
200706,2007,6,13398,911,424,141,91,217,0,0,15182
200707,2007,7,18878,726,325,106,44,77,0,0,20156
200708,2007,8,26333,351,376,161,20,48,0,0,27289
200709,2007,9,13938,651,381,111,65,136,0,0,15282
200710,2007,10,8102,654,310,168,31,178,0,0,9443
200711,2007,11,2065,197,102,55,7,70,0,0,2496
