ID,Year,Month,Germany,Argentina,Australia,Austria,Belgium,Belize,Brazil,Bulgaria,Belgium,Canadá,Chile,China,Colombia,Corea,Dinamarca,Slovakia,Spain,United States,Estonia,Finland,France,Netherlands,Hungary,Indonesia,Irlanda,Iran,Iceland,Israel,Italy,Japan,Lithuania,Mexico,Peru,Polonia,Portugal,Puerto Rico,United Kingdom,República Checa,Others,Romania,Rusia,Singapore,South Africa,Sweden,Switzerland,Taiwán,Ukraine,Uruguay,Venezuela,Total
200401,2004,1,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,546,13,0,0,9,4,0,0,0,0,0,0,12,5,0,0,0,0,0,0,4,0,21,0,0,0,0,0,6,0,0,0,0,643
200402,2004,2,32,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1146,13,0,31,21,0,0,0,0,0,0,0,7,0,0,9,0,0,58,0,7,0,62,0,0,0,0,0,0,0,0,0,0,1401
200403,2004,3,114,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,2703,30,0,0,23,0,0,0,0,0,0,0,20,0,0,17,0,0,22,0,31,0,111,0,0,0,0,0,0,0,0,0,0,3105
200404,2004,4,458,0,0,107,109,0,0,0,0,0,0,0,0,0,0,0,12745,171,0,0,408,0,0,0,0,0,0,0,154,0,0,98,0,0,489,0,111,0,704,0,0,0,0,0,0,0,0,0,0,15554
200405,2004,5,1221,0,0,224,0,0,275,0,0,0,0,0,0,0,0,0,11210,284,0,0,1097,274,0,0,0,0,0,0,514,0,0,0,0,0,226,0,210,0,1325,0,0,0,0,0,0,0,0,0,0,16860
200406,2004,6,1157,0,0,222,0,0,255,0,0,0,0,0,0,0,0,0,13236,437,0,0,961,360,0,0,0,0,0,0,676,0,0,0,0,0,251,0,220,0,1520,0,0,0,0,0,0,0,0,0,0,19295
200407,2004,7,766,0,0,0,294,0,154,0,0,0,0,0,0,0,0,0,25724,434,0,0,991,223,0,0,0,0,0,0,955,0,0,0,0,0,401,0,188,0,1761,0,0,0,0,0,0,0,0,0,0,31891
200408,2004,8,892,0,0,145,189,0,0,0,0,0,0,0,0,0,0,0,36700,124,0,0,1075,127,0,0,0,0,0,0,4071,0,0,0,0,0,716,0,173,0,1389,0,0,0,0,0,0,0,0,0,0,45601
200409,2004,9,1200,0,0,195,0,0,191,0,0,0,0,0,0,0,0,0,16547,232,0,0,956,208,0,0,0,0,0,0,861,0,0,0,0,0,535,0,222,0,1605,0,0,0,0,0,0,0,0,0,0,22752
200410,2004,10,843,0,0,0,0,0,264,0,0,219,0,0,0,0,0,0,9833,215,0,0,789,0,0,0,0,0,0,0,335,0,0,237,0,0,419,0,216,0,1186,0,0,0,0,0,0,0,0,0,0,14556
200411,2004,11,95,33,0,0,0,0,59,0,0,58,0,0,0,0,0,0,3306,54,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,39,0,308,0,0,0,0,0,0,0,0,0,194,4410
200412,2004,12,24,20,0,0,14,0,25,0,0,0,0,0,0,0,0,0,3430,21,0,0,45,0,0,0,0,0,0,0,31,0,0,15,0,0,54,0,0,0,123,0,0,0,0,0,0,0,0,0,0,3802
200501,2005,1,6,0,4,5,0,0,12,0,0,0,0,0,0,0,0,0,165,18,0,0,14,3,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,269
200502,2005,2,26,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,392,4,0,0,18,5,0,0,0,0,0,0,8,13,0,0,0,0,65,0,4,0,24,0,0,0,0,0,0,0,0,0,0,565
200503,2005,3,193,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,2181,57,0,0,38,0,0,0,44,0,0,0,89,0,0,33,0,0,201,0,42,0,201,0,0,0,0,0,0,0,0,0,0,3121
200504,2005,4,299,0,0,83,0,0,0,0,0,85,0,0,0,0,0,0,1575,68,0,0,239,0,0,0,0,0,0,0,158,0,0,0,0,0,172,0,102,0,455,0,0,0,0,0,71,0,0,0,0,3307
200505,2005,5,1475,0,0,269,0,0,207,0,0,0,0,0,0,0,0,0,3458,307,0,0,924,367,0,0,0,0,0,0,553,0,0,0,0,0,276,0,228,0,1246,0,0,0,0,0,0,0,0,0,0,9310
200506,2005,6,1461,0,0,385,0,0,0,0,0,269,0,0,0,0,0,0,5022,436,0,0,1193,488,0,0,0,0,0,0,1150,0,0,0,0,0,274,0,274,0,1667,0,0,0,0,0,0,0,0,0,0,12619
200507,2005,7,720,0,0,0,266,0,0,0,0,0,0,0,0,0,219,0,12867,474,0,0,880,191,0,0,0,0,0,0,1108,0,0,0,0,0,317,0,185,0,1577,0,0,0,0,0,0,0,0,0,0,18804
200508,2005,8,908,0,0,187,260,0,0,0,0,0,0,0,0,0,0,0,17036,167,0,0,887,184,0,0,0,0,0,0,3115,0,0,0,0,0,560,0,191,0,1336,0,0,0,0,0,0,0,0,0,0,24831
200509,2005,9,1207,0,0,0,0,0,174,0,0,192,0,0,0,0,0,0,6469,242,0,0,822,187,0,0,0,0,0,0,863,0,0,0,0,0,361,0,257,0,1394,0,0,0,0,0,0,0,0,0,0,12168
200510,2005,10,727,0,0,164,0,0,206,0,0,369,0,0,0,0,0,0,2666,224,0,0,740,0,0,0,0,0,0,0,276,0,0,0,0,0,299,0,179,0,1023,0,0,0,0,0,0,0,0,0,0,6873
200511,2005,11,110,0,37,0,0,0,41,0,0,51,0,0,0,0,0,0,655,41,0,0,122,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,40,0,190,0,0,0,0,0,28,0,0,0,0,1388
200512,2005,12,23,0,0,0,15,0,11,0,0,14,0,0,0,0,0,0,442,0,0,0,33,0,0,0,0,0,0,0,21,11,0,0,0,0,28,0,10,0,60,0,0,0,0,0,0,0,0,0,0,668
200601,2006,1,18,6,0,7,5,0,10,0,0,0,0,0,0,0,0,0,194,0,0,0,16,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,9,0,34,0,0,0,0,0,0,0,0,0,0,324
200602,2006,2,23,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,244,7,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,5,12,0,8,0,28,0,0,0,0,0,0,0,0,0,0,351
200603,2006,3,110,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,558,16,0,0,40,0,0,0,12,0,0,0,31,0,0,23,0,0,118,0,49,0,112,0,0,0,0,0,0,0,0,0,0,1096
