ID,Year,Month,Male,Female,Total
200401,2004,1,454,189,643
200402,2004,2,910,491,1401
200403,2004,3,1838,1267,3105
200404,2004,4,8437,7117,15554
200405,2004,5,9778,7082,16860
200406,2004,6,11223,8072,19295
200407,2004,7,17096,14795,31891
200408,2004,8,25014,20587,45601
200409,2004,9,12737,10015,22752
200410,2004,10,8337,6219,14556
200411,2004,11,2454,1956,4410
200412,2004,12,2105,1697,3802
200501,2005,1,196,73,269
200502,2005,2,333,232,565
200503,2005,3,1875,1246,3121
200504,2005,4,1944,1363,3307
200505,2005,5,5635,3675,9310
200506,2005,6,7859,4760,12619
200507,2005,7,10677,8127,18804
200508,2005,8,14468,10363,24831
200509,2005,9,7155,5013,12168
200510,2005,10,4142,2731,6873
200511,2005,11,928,460,1388
200512,2005,12,495,173,668
200601,2006,1,241,83,324
200602,2006,2,225,126,351
200603,2006,3,710,386,1096
200604,2006,4,4333,3118,7451
200605,2006,5,6212,3935,10147
200606,2006,6,8037,4974,13011
200607,2006,7,10513,8207,18720
200608,2006,8,15373,10810,26183
200609,2006,9,7819,5651,13470
200610,2006,10,4602,3098,7700
200611,2006,11,1167,588,1755
200612,2006,12,605,243,848
200701,2007,1,252,98,350
200702,2007,2,418,247,665
200703,2007,3,1057,623,1680
200704,2007,4,4690,3425,8115
200705,2007,5,7725,5199,12924
200706,2007,6,9110,6072,15182
200707,2007,7,11295,8861,20156
200708,2007,8,15912,11377,27289
200709,2007,9,8802,6480,15282
200710,2007,10,5633,3810,9443
200711,2007,11,1537,959,2496
200712,2007,12,559,236,795
200801,2008,1,211,95,306
200802,2008,2,486,217,703
200803,2008,3,3023,2304,5327
200804,2008,4,3391,2257,5648
200805,2008,5,9506,6495,16001
200806,2008,6,9370,6534,15904
200807,2008,7,11583,9483,21066
200808,2008,8,17558,12438,29996
200809,2008,9,10138,7240,17378
200810,2008,10,5771,4107,9878
200811,2008,11,1543,766,2309
200812,2008,12,660,425,1085
200901,2009,1,345,178,523
200902,2009,2,482,216,698
200903,2009,3,1224,626,1850
200904,2009,4,5990,4326,10316
200905,2009,5,10048,6450,16498
200906,2009,6,11591,7763,19354
200907,2009,7,15193,11559,26752
200908,2009,8,20661,14885,35546
200909,2009,9,11973,8650,20623
200910,2009,10,6989,4742,11731
200911,2009,11,1583,770,2353
200912,2009,12,716,294,1010
201001,2010,1,788,400,1188
201002,2010,2,1109,531,1640
201003,2010,3,3462,2421,5883
201004,2010,4,11000,8587,19587
201005,2010,5,16564,12282,28846
201006,2010,6,19477,14279,33756
201007,2010,7,22571,19895,42466
201008,2010,8,33988,27546,61534
