ID,Year,Month,Farmers,Housewives,Artists,Athletes,Executives,Employees,Students,Civil Servants,Retirees,Freelancers,Sailors,Workers,Unemployed,Teachers,Religious,Others,Priests,Not specified,Technicians,Total
200401,2004,1,0,22,0,0,0,64,144,34,50,87,0,94,23,54,0,24,0,0,47,643
200402,2004,2,0,45,0,0,0,113,486,91,45,185,0,143,29,82,0,49,0,0,133,1401
200403,2004,3,0,210,0,0,0,358,822,251,157,349,0,376,81,132,0,86,0,0,283,3105
200404,2004,4,0,833,0,0,0,2097,4552,813,829,1968,0,1442,240,1050,0,344,0,0,1386,15554
200405,2004,5,0,1334,0,0,0,3626,1196,1220,2640,2512,0,1047,255,598,0,492,0,0,1940,16860
200406,2004,6,0,1276,0,0,0,3738,2163,1467,2486,2700,0,1371,329,857,0,588,0,0,2320,19295
200407,2004,7,0,1443,0,0,0,3855,12030,1729,1546,2985,0,1391,274,3119,0,851,0,0,2668,31891
200408,2004,8,0,1754,0,0,0,7109,15568,1581,963,5320,0,3219,0,3909,0,1451,573,0,4154,45601
200409,2004,9,0,1241,0,0,0,4270,4841,1410,2053,2965,0,1289,270,934,0,765,0,0,2714,22752
200410,2004,10,0,922,0,0,0,2491,2372,957,1530,2325,0,782,242,615,0,463,0,0,1857,14556
200411,2004,11,0,374,0,0,0,916,386,271,322,724,0,410,108,222,0,186,0,0,491,4410
200412,2004,12,0,306,0,0,0,655,557,221,179,532,0,457,69,227,0,122,0,0,477,3802
200501,2005,1,0,0,10,0,0,38,49,13,14,43,0,28,11,17,0,16,0,0,30,269
200502,2005,2,0,46,0,0,0,142,157,17,16,58,0,18,16,33,0,22,0,0,40,565
200503,2005,3,0,78,0,0,0,351,1300,121,71,323,0,173,36,266,0,82,0,0,320,3121
200504,2005,4,0,111,0,0,0,505,734,163,437,405,0,151,61,231,0,130,0,0,379,3307
200505,2005,5,0,392,0,0,159,1734,611,534,2130,1207,0,405,0,383,0,352,0,0,1403,9310
200506,2005,6,0,565,0,0,0,2198,1151,759,2911,1516,0,589,223,515,0,463,0,0,1729,12619
200507,2005,7,0,541,0,0,0,2262,6462,911,1190,1681,0,789,238,2416,0,533,0,0,1781,18804
200508,2005,8,0,597,0,0,0,5113,5198,1118,691,3194,0,1763,292,3002,0,634,0,0,3229,24831
200509,2005,9,0,381,0,0,0,2404,2172,868,1459,1484,0,510,212,578,0,486,0,0,1614,12168
200510,2005,10,0,220,0,0,0,1390,786,423,1288,901,0,208,148,352,0,360,0,0,797,6873
200511,2005,11,0,46,0,0,0,331,98,64,158,218,0,90,75,59,0,73,0,0,176,1388
200512,2005,12,0,0,16,0,0,96,109,41,26,123,0,69,40,32,0,28,0,0,88,668
200601,2006,1,0,0,14,0,0,47,31,23,24,62,0,22,11,31,0,16,0,0,43,324
200602,2006,2,8,0,0,0,0,42,121,8,20,56,0,19,17,15,0,16,0,0,29,351
200603,2006,3,0,21,0,0,0,161,380,30,93,147,0,33,28,90,0,43,0,0,70,1096
200604,2006,4,0,171,0,0,95,1050,2442,304,538,867,0,265,0,614,0,243,0,0,862,7451
200605,2006,5,0,358,0,0,0,1854,639,545,2577,1440,0,414,250,401,0,380,0,0,1289,10147
200606,2006,6,0,429,0,0,0,2302,1053,851,2998,1791,0,563,276,600,0,441,0,0,1707,13011
200607,2006,7,0,452,0,0,0,2229,6768,818,1125,1675,0,733,197,2429,0,509,0,0,1785,18720
200608,2006,8,0,602,0,0,0,4599,6222,925,801,3849,0,1790,274,3091,0,815,0,0,3215,26183
200609,2006,9,0,411,0,0,0,2368,2189,705,2040,1937,0,703,228,601,0,450,0,0,1838,13470
