ID,Year,Month,Non-religious,Religious,Religious and others,Not specified,Total
200401,2004,1,31,488,124,0,643
200402,2004,2,61,1090,250,0,1401
200403,2004,3,197,2219,689,0,3105
200404,2004,4,1242,11200,3112,0,15554
200405,2004,5,1077,12405,3378,0,16860
200406,2004,6,964,14379,3952,0,19295
200407,2004,7,1729,23760,6402,0,31891
200408,2004,8,2190,35918,7493,0,45601
200409,2004,9,1366,15958,5428,0,22752
200410,2004,10,840,10784,2932,0,14556
200411,2004,11,214,3239,957,0,4410
200412,2004,12,175,2819,808,0,3802
200501,2005,1,27,188,54,0,269
200502,2005,2,21,460,84,0,565
200503,2005,3,330,1281,1510,0,3121
200504,2005,4,287,1265,1755,0,3307
200505,2005,5,788,3725,4797,0,9310
200506,2005,6,860,5007,6752,0,12619
200507,2005,7,1724,7385,9695,0,18804
200508,2005,8,2438,9314,13079,0,24831
200509,2005,9,1305,3949,6914,0,12168
200510,2005,10,534,2309,4030,0,6873
200511,2005,11,123,327,938,0,1388
200512,2005,12,55,246,367,0,668
200601,2006,1,41,92,191,0,324
200602,2006,2,29,133,189,0,351
200603,2006,3,91,411,594,0,1096
200604,2006,4,720,3021,3710,0,7451
200605,2006,5,729,4361,5057,0,10147
200606,2006,6,1063,5659,6289,0,13011
200607,2006,7,1705,7729,9286,0,18720
200608,2006,8,2484,11510,12189,0,26183
200609,2006,9,1224,5386,6860,0,13470
200610,2006,10,636,2894,4170,0,7700
200611,2006,11,148,576,1031,0,1755
200612,2006,12,49,332,467,0,848
200701,2007,1,8,68,274,0,350
200702,2007,2,44,284,337,0,665
200703,2007,3,150,532,998,0,1680
200704,2007,4,785,2725,4605,0,8115
200705,2007,5,838,5254,6832,0,12924
200706,2007,6,1080,5836,8266,0,15182
200707,2007,7,1507,8342,10307,0,20156
200708,2007,8,2566,10697,14026,0,27289
200709,2007,9,1404,5517,8361,0,15282
200710,2007,10,850,3357,5236,0,9443
200711,2007,11,218,875,1403,0,2496
200712,2007,12,77,236,482,0,795
200801,2008,1,39,94,173,0,306
200802,2008,2,44,218,441,0,703
200803,2008,3,579,1750,2998,0,5327
200804,2008,4,436,2177,3035,0,5648
200805,2008,5,1167,6909,7925,0,16001
200806,2008,6,1296,6734,7874,0,15904
200807,2008,7,1786,8601,10679,0,21066
200808,2008,8,2814,12588,14594,0,29996
