ID,Year,Month,Barbanza Way (Camino del Barbanza),Way of the Sea (Camino del Mar),Forgotten Way (Camino Olvidado),Costa Camino Portugues  ,Camino Francés,Geira and Arrieiros Way (Camino de Geira e Arrieiros),Camino Inglés,Winter Way (Camino de Invierno),Miñoto Ribeiro Way (Camino de Miñoto Ribeiro),Muros-Noia Way (Camino de Muros - Noia),Camino de Finisterre y Muxía,Camino del Norte,Other Ways,Camino Portugués,Camino Primitivo,Others,San Rosendo Way (Camino de San Rosendo),San Salvador Way (Camino de San Salvador),Not Established,Vía de la Plata,Celtic Way (Vía Céltica),Total
200401,2004,1,0,0,0,0,566,0,5,0,0,0,0,14,0,16,17,0,0,0,0,25,0,643
200402,2004,2,0,0,0,21,1124,0,34,0,0,0,0,41,4,157,0,0,0,0,0,20,0,1401
200403,2004,3,0,0,0,43,2349,0,141,0,0,0,0,103,0,368,9,0,0,0,0,92,0,3105
200404,2004,4,0,0,0,142,12024,0,290,0,0,0,0,256,17,1990,100,0,0,0,0,735,0,15554
200405,2004,5,0,0,0,162,13485,0,326,0,0,0,1,545,18,1499,120,0,0,0,0,704,0,16860
200406,2004,6,0,0,0,87,15983,0,258,0,0,0,0,740,15,1094,315,0,0,0,0,803,0,19295
200407,2004,7,0,0,0,110,24798,0,364,0,0,0,0,1891,29,2837,478,0,0,0,0,1384,0,31891
200408,2004,8,0,0,0,123,31264,0,1045,0,0,0,247,1962,27,3303,3800,0,0,0,0,3830,0,45601
200409,2004,9,0,0,0,50,18919,0,324,0,0,0,10,630,22,1717,303,0,0,0,0,777,0,22752
200410,2004,10,0,0,0,25,11964,0,107,0,0,0,2,436,12,1123,203,0,0,0,0,684,0,14556
200411,2004,11,0,0,0,27,3512,0,98,0,0,0,8,146,0,352,87,0,0,0,0,180,0,4410
200412,2004,12,0,0,0,20,2649,0,100,0,0,0,12,206,0,568,149,0,0,0,0,98,0,3802
200501,2005,1,0,0,0,0,226,0,3,0,0,0,1,8,0,21,1,0,0,0,0,9,0,269
200502,2005,2,0,0,0,0,478,0,3,0,0,0,0,4,1,54,5,0,0,0,0,20,0,565
200503,2005,3,0,0,0,5,2425,0,57,0,0,0,3,118,2,296,86,0,0,0,0,129,0,3121
200504,2005,4,0,0,0,0,2661,0,16,0,0,0,1,41,2,406,32,0,0,0,0,148,0,3307
200505,2005,5,0,0,0,40,7885,0,36,0,0,0,0,248,6,524,78,0,0,0,0,493,0,9310
200506,2005,6,0,0,0,10,10997,0,45,0,0,0,11,376,8,590,113,0,0,0,0,469,0,12619
200507,2005,7,0,0,0,25,15693,0,171,0,0,0,49,970,36,937,311,0,0,0,0,612,0,18804
200508,2005,8,0,0,0,1,20873,0,135,5,0,0,27,1251,28,1523,349,0,0,0,0,639,0,24831
200509,2005,9,0,0,0,2,10548,0,75,0,0,0,9,487,6,576,161,0,0,0,0,304,0,12168
200510,2005,10,0,0,0,1,5980,0,25,0,0,0,4,205,8,395,49,0,0,0,0,206,0,6873
200511,2005,11,0,0,0,0,1165,0,44,9,0,0,0,37,0,45,6,0,0,0,0,82,0,1388
200512,2005,12,0,0,0,3,479,0,41,0,0,0,2,35,1,53,24,0,0,0,0,30,0,668
200601,2006,1,0,0,0,2,259,0,2,0,0,0,2,14,0,25,5,0,0,0,0,15,0,324
