ID,Year,Month,Bicycle,Horse,On Foot,Wheelchair,Not specified,Sailboat,Total
200401,2004,1,44,0,599,0,0,0,643
200402,2004,2,73,3,1325,0,0,0,1401
200403,2004,3,201,40,2864,0,0,0,3105
200404,2004,4,1282,100,14172,0,0,0,15554
200405,2004,5,2363,175,14312,10,0,0,16860
200406,2004,6,3476,176,15632,11,0,0,19295
200407,2004,7,3404,345,28124,18,0,0,31891
200408,2004,8,5229,385,39977,10,0,0,45601
200409,2004,9,3191,243,19312,6,0,0,22752
200410,2004,10,1496,106,12951,3,0,0,14556
200411,2004,11,308,34,4066,2,0,0,4410
200412,2004,12,183,64,3555,0,0,0,3802
200501,2005,1,24,1,244,0,0,0,269
200502,2005,2,26,0,539,0,0,0,565
200503,2005,3,321,10,2790,0,0,0,3121
200504,2005,4,329,9,2968,1,0,0,3307
200505,2005,5,1920,41,7348,1,0,0,9310
200506,2005,6,3039,18,9560,2,0,0,12619
200507,2005,7,2918,74,15810,2,0,0,18804
200508,2005,8,4991,60,19766,14,0,0,24831
200509,2005,9,2348,11,9807,2,0,0,12168
200510,2005,10,905,14,5953,1,0,0,6873
200511,2005,11,118,1,1269,0,0,0,1388
200512,2005,12,44,3,621,0,0,0,668
200601,2006,1,23,2,299,0,0,0,324
200602,2006,2,22,0,329,0,0,0,351
200603,2006,3,72,3,1020,1,0,0,1096
200604,2006,4,1135,26,6289,1,0,0,7451
200605,2006,5,1862,30,8254,1,0,0,10147
200606,2006,6,3112,48,9850,1,0,0,13011
200607,2006,7,2925,63,15732,0,0,0,18720
200608,2006,8,5274,50,20856,3,0,0,26183
200609,2006,9,2749,33,10687,1,0,0,13470
200610,2006,10,991,26,6681,2,0,0,7700
200611,2006,11,168,12,1574,1,0,0,1755
200612,2006,12,65,1,782,0,0,0,848
200701,2007,1,28,0,322,0,0,0,350
200702,2007,2,27,0,638,0,0,0,665
200703,2007,3,138,12,1530,0,0,0,1680
200704,2007,4,1283,36,6795,1,0,0,8115
200705,2007,5,2197,25,10701,1,0,0,12924
200706,2007,6,3136,46,11999,1,0,0,15182
200707,2007,7,3150,46,16959,1,0,0,20156
200708,2007,8,5297,91,21899,2,0,0,27289
200709,2007,9,2925,51,12306,0,0,0,15282
200710,2007,10,1274,50,8118,1,0,0,9443
200711,2007,11,259,7,2230,0,0,0,2496
200712,2007,12,51,0,744,0,0,0,795
200801,2008,1,18,0,288,0,0,0,306
200802,2008,2,46,0,657,0,0,0,703
200803,2008,3,628,34,4665,0,0,0,5327
200804,2008,4,826,6,4815,1,0,0,5648
200805,2008,5,3150,51,12799,1,0,0,16001
200806,2008,6,3293,32,12576,3,0,0,15904
200807,2008,7,2937,38,18085,6,0,0,21066
200808,2008,8,5741,47,24192,16,0,0,29996
200809,2008,9,3224,58,14088,8,0,0,17378
200810,2008,10,1097,25,8754,2,0,0,9878
200811,2008,11,193,2,2112,2,0,0,2309
200812,2008,12,94,0,991,0,0,0,1085
200901,2009,1,32,1,490,0,0,0,523
200902,2009,2,62,0,636,0,0,0,698
200903,2009,3,249,11,1590,0,0,0,1850
200904,2009,4,1395,46,8875,0,0,0,10316
200905,2009,5,3050,50,13398,0,0,0,16498
200906,2009,6,3883,45,15423,3,0,0,19354
200907,2009,7,4143,58,22551,0,0,0,26752
200908,2009,8,6649,77,28808,12,0,0,35546
200909,2009,9,3751,33,16817,22,0,0,20623
200910,2009,10,1576,13,10141,1,0,0,11731
200911,2009,11,215,4,2133,1,0,0,2353
200912,2009,12,122,4,884,0,0,0,1010
201001,2010,1,51,15,1122,0,0,0,1188
201002,2010,2,103,3,1533,1,0,0,1640
201003,2010,3,415,0,5466,2,0,0,5883
201004,2010,4,2085,207,17293,2,0,0,19587
201005,2010,5,4073,121,24648,4,0,0,28846
201006,2010,6,5710,153,27891,2,0,0,33756
201007,2010,7,4622,187,37649,8,0,0,42466
201008,2010,8,7644,196,53688,6,0,0,61534
201009,2010,9,5042,133,31665,8,0,0,36848
201010,2010,10,2732,118,23746,2,0,0,26598
201011,2010,11,543,26,7505,1,0,0,8075
201012,2010,12,257,71,5638,1,0,0,5967
201101,2011,1,33,1,610,0,0,0,644
201102,2011,2,70,0,750,0,0,0,820
201103,2011,3,550,1,2472,0,0,0,3023
201104,2011,4,1813,36,12304,1,0,0,14154
201105,2011,5,3063,52,16687,3,0,0,19805
201106,2011,6,5384,49,19806,0,0,0,25239
201107,2011,7,4709,51,26081,1,0,0,30842
201108,2011,8,7383,41,34064,1,0,0,41489
201109,2011,9,4446,59,21518,0,0,0,26023
201110,2011,10,2009,42,14187,5,0,0,16243
201111,2011,11,318,9,3264,0,0,0,3591
201112,2011,12,170,0,1328,0,0,0,1498
201201,2012,1,62,0,810,0,0,0,872
201202,2012,2,78,6,1221,0,0,0,1305
201203,2012,3,324,4,2932,0,0,0,3260
201204,2012,4,1953,43,12753,0,0,0,14749
201205,2012,5,3147,31,18598,0,0,0,21776
201206,2012,6,4631,32,20853,1,0,0,25517
201207,2012,7,4095,28,28690,5,0,0,32818
201208,2012,8,6480,56,34557,3,0,0,41096
201209,2012,9,4023,28,23266,4,0,0,27321
201210,2012,10,2140,46,15897,8,0,0,18091
201211,2012,11,389,3,3778,0,0,0,4170
201212,2012,12,84,4,1394,1,0,0,1483
201301,2013,1,44,2,760,0,0,0,806
201302,2013,2,112,9,1260,1,0,0,1382
201303,2013,3,477,68,6681,2,0,0,7228
201304,2013,4,1600,63,9865,4,0,0,11532
201305,2013,5,3016,144,22038,7,0,0,25205
201306,2013,6,5061,164,24144,5,0,0,29374
201307,2013,7,3989,204,32356,10,0,0,36559
201308,2013,8,6176,114,40415,21,0,0,46726
201309,2013,9,4001,119,26768,6,0,0,30894
201310,2013,10,1692,74,17836,5,0,0,19607
201311,2013,11,376,15,4516,0,0,0,4907
201312,2013,12,105,1,1548,5,0,0,1659
201401,2014,1,43,0,862,1,0,0,906
201402,2014,2,24,1,945,0,0,0,970
201403,2014,3,268,4,2877,1,0,0,3150
201404,2014,4,1779,99,15442,27,0,0,17347
201405,2014,5,3129,146,24075,4,0,0,27354
201406,2014,6,4586,152,28274,9,0,0,33021
201407,2014,7,3707,211,35640,23,0,0,39581
201408,2014,8,5834,444,44918,22,0,0,51218
201409,2014,9,3821,315,30314,7,0,0,34457
201410,2014,10,1702,128,21371,4,0,0,23205
201411,2014,11,305,10,4488,0,0,0,4803
201412,2014,12,127,10,1733,0,0,0,1870
201501,2015,1,59,0,1158,0,0,0,1217
201502,2015,2,76,0,1468,0,0,0,1544
201503,2015,3,270,0,4806,4,0,0,5080
201504,2015,4,1485,55,16180,1,0,0,17721
201505,2015,5,3943,42,27088,3,0,0,31076
201506,2015,6,4431,44,31442,6,0,0,35923
201507,2015,7,3589,33,41161,11,0,0,44794
201508,2015,8,5500,84,49194,16,0,0,54794
201509,2015,9,3802,30,33588,9,0,0,37429
201510,2015,10,1740,36,23785,15,0,0,25576
201511,2015,11,299,0,4923,6,0,0,5228
201512,2015,12,149,2,1911,0,0,0,2062
201601,2016,1,30,0,1274,0,0,0,1304
