ID,Year,Month,Germany,Argentina,Australia,Austria,Belgica,Belice,Brazil,Bulgaria,Bélgica,Canada,Chile,China,Colombia,Korea,Denmark,Eslovaquia,Spain,United States,Estonia,Finland,France,Netherlands,Hungría,Indonesia,Ireland,Irán,Islandia,Israel,Italy,Japan,Lituania,Mexico,Perú,Poland,Portugal,Puerto Rico,United Kingdom,Czech Republic,Others,Rumania,Russia,Singapur,Sudáfrica,Suecia,Switzerland,Taiwan,Ucrania,Uruguay,Venezuela,Total
200401,2004,1,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,546,13,0,0,9,4,0,0,0,0,0,0,12,5,0,0,0,0,0,0,4,0,21,0,0,0,0,0,6,0,0,0,0,643
200402,2004,2,32,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1146,13,0,31,21,0,0,0,0,0,0,0,7,0,0,9,0,0,58,0,7,0,62,0,0,0,0,0,0,0,0,0,0,1401
200403,2004,3,114,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,2703,30,0,0,23,0,0,0,0,0,0,0,20,0,0,17,0,0,22,0,31,0,111,0,0,0,0,0,0,0,0,0,0,3105
200404,2004,4,458,0,0,107,109,0,0,0,0,0,0,0,0,0,0,0,12745,171,0,0,408,0,0,0,0,0,0,0,154,0,0,98,0,0,489,0,111,0,704,0,0,0,0,0,0,0,0,0,0,15554
200405,2004,5,1221,0,0,224,0,0,275,0,0,0,0,0,0,0,0,0,11210,284,0,0,1097,274,0,0,0,0,0,0,514,0,0,0,0,0,226,0,210,0,1325,0,0,0,0,0,0,0,0,0,0,16860
200406,2004,6,1157,0,0,222,0,0,255,0,0,0,0,0,0,0,0,0,13236,437,0,0,961,360,0,0,0,0,0,0,676,0,0,0,0,0,251,0,220,0,1520,0,0,0,0,0,0,0,0,0,0,19295
200407,2004,7,766,0,0,0,294,0,154,0,0,0,0,0,0,0,0,0,25724,434,0,0,991,223,0,0,0,0,0,0,955,0,0,0,0,0,401,0,188,0,1761,0,0,0,0,0,0,0,0,0,0,31891
200408,2004,8,892,0,0,145,189,0,0,0,0,0,0,0,0,0,0,0,36700,124,0,0,1075,127,0,0,0,0,0,0,4071,0,0,0,0,0,716,0,173,0,1389,0,0,0,0,0,0,0,0,0,0,45601
200409,2004,9,1200,0,0,195,0,0,191,0,0,0,0,0,0,0,0,0,16547,232,0,0,956,208,0,0,0,0,0,0,861,0,0,0,0,0,535,0,222,0,1605,0,0,0,0,0,0,0,0,0,0,22752
200410,2004,10,843,0,0,0,0,0,264,0,0,219,0,0,0,0,0,0,9833,215,0,0,789,0,0,0,0,0,0,0,335,0,0,237,0,0,419,0,216,0,1186,0,0,0,0,0,0,0,0,0,0,14556
200411,2004,11,95,33,0,0,0,0,59,0,0,58,0,0,0,0,0,0,3306,54,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,39,0,308,0,0,0,0,0,0,0,0,0,194,4410
200412,2004,12,24,20,0,0,14,0,25,0,0,0,0,0,0,0,0,0,3430,21,0,0,45,0,0,0,0,0,0,0,31,0,0,15,0,0,54,0,0,0,123,0,0,0,0,0,0,0,0,0,0,3802
200501,2005,1,6,0,4,5,0,0,12,0,0,0,0,0,0,0,0,0,165,18,0,0,14,3,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,269
201101,2011,1,26,0,0,0,8,0,10,0,0,0,0,0,0,65,0,0,374,13,0,0,10,0,0,0,0,0,0,0,34,0,0,8,0,0,32,0,0,0,64,0,0,0,0,0,0,0,0,0,0,644
201709,2017,9,3780,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,16720,2515,0,0,1236,0,0,0,1389,0,0,0,3419,0,0,0,0,960,1410,0,1017,0,8877,0,0,0,0,0,0,0,0,0,0,42189
201801,2018,1,65,41,25,0,0,0,66,0,0,18,0,38,0,194,0,0,681,46,0,0,33,0,0,0,0,0,0,0,117,17,0,23,0,0,57,0,22,16,109,0,28,0,0,0,12,0,9,10,0,1627
201802,2018,2,129,26,14,0,0,0,54,0,0,14,23,21,0,209,0,0,791,45,0,0,62,14,0,0,67,0,0,0,113,24,0,22,0,19,342,0,33,15,144,0,0,0,0,0,0,0,0,0,0,2181
201803,2018,3,944,91,63,0,0,0,103,0,0,78,0,0,75,150,44,0,6215,405,0,63,122,53,0,0,322,0,0,0,295,64,0,143,0,64,980,0,223,0,559,0,0,0,0,0,0,0,0,0,0,11056
201804,2018,4,2510,241,353,185,0,0,360,0,194,250,0,0,0,420,172,0,7794,975,0,0,565,340,0,0,918,0,0,0,1322,0,0,302,0,236,2127,0,664,169,1971,0,0,0,0,0,0,0,0,0,0,22068
201805,2018,5,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11257,2936,0,0,1521,0,0,0,0,0,0,0,3220,0,0,0,0,0,0,0,0,0,16607,0,0,0,0,0,0,0,0,0,0,40665
201806,2018,6,3673,464,902,348,0,0,939,0,305,741,0,0,299,814,0,0,17420,4089,0,0,1524,643,0,0,1157,0,0,0,3917,310,0,457,0,522,1807,0,1149,0,4205,0,0,0,0,0,0,0,0,0,0,45685
201807,2018,7,2231,277,415,0,0,0,444,0,269,417,0,0,0,539,346,276,30187,2516,0,0,971,359,0,0,639,0,0,0,3565,0,0,514,0,907,1520,0,816,414,3245,0,0,0,0,0,0,0,0,0,0,50867
201808,2018,8,2319,321,237,0,0,0,379,0,231,308,0,0,0,445,244,249,36422,1114,0,0,1100,352,0,0,619,0,0,0,8417,0,0,314,0,917,2205,0,689,273,3260,0,0,0,0,0,0,0,0,0,0,60415
201809,2018,9,4162,496,966,0,0,0,962,0,0,960,0,0,402,0,407,0,18491,2799,0,0,1341,476,0,0,1485,0,0,0,3498,0,0,662,0,979,1607,0,1466,368,4739,0,376,0,364,0,0,0,0,0,0,47006
201810,2018,10,3498,343,1082,0,0,0,786,0,277,1170,0,0,320,888,457,0,11038,3104,0,0,1185,527,0,0,848,0,0,0,1836,0,0,491,0,439,1848,0,1153,0,4025,0,287,0,0,0,0,0,0,0,0,35602
201811,2018,11,531,65,190,0,0,0,215,0,129,127,0,0,71,524,0,0,2698,466,0,0,288,82,0,0,113,0,0,0,546,77,0,105,0,63,347,0,141,82,791,0,0,0,0,0,0,0,0,0,0,7651
